counterAtEnd,gear_condition,siteName,subSiteName,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,diff,waterTemp,turbidity,visitTime,visitType,trapFunctioning,fishProcessed,includeCatch
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-07T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-08T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-09T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-10T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-11T11:00:00Z,Not recorded,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-12T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-13T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-14T10:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-15T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,11.5,NA,2000-05-16T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-17T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-18T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-19T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-20T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes
NA,NA,Hallwood,Hallwood 1 RR,NA,NA,NA,12,NA,2000-05-21T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes
